"","TYPEOFTREE","SPECIESTYPE","SPECIES","AGE","DESCRIPTION","TREESURROUND","VIGOUR","CONDITION","DIAMETERinCENTIMETRES","SPREADRADIUSinMETRES","TREELOCATIONX","TREELOCATIONY","LONGITUDE","LATITUDE","TREETAG","TREEHEIGHTinMETRES"
"1","ParkTree","Cherry","Prunus cerasifera 'Nigra'","Young Mature","Semi-Mature","Shrubs","Low","Poor",70,5,330667.06,367682.71,-5.98187,54.540617,"292",8
"5","ParkTree","Pine","Pinus nigra","Young Mature","Semi-Mature","Grass","Normal","Poor",47,7,332251.15,371468.65,-5.955712,54.574194,"115",13
"7","ParkTree","Sweet Chestnut","Castanea sativa","Mature","Mature","Woodland","Normal","Poor",90,7,336866.43,373059.67,-5.883656,54.58725,"194",16
"9","StreetTree","Pear","Pyrus calleryana 'Chanticleer'","Juvenile","Heavy Standard","Tarmac","Low","Poor",7,1,331649.26,375492.53,-5.96321,54.610474,"0",0
"15","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Grass","Low","Poor",130,1,331882.27,369218.98,-5.96242,54.554094,"1",11
"16","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",68,5,330101.97,368141.54,-5.990393,54.544881,"2578",26
"26","ParkTree","Cypress","Cupressocyparis leylandii","Mature","Mature","Bramble/Briars","Low","Poor",92,6,333223.75,379592.65,-5.936996,54.64687,"730",27
"31","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Grass","Low","Poor",140,13,334618.14,372447.22,-5.918689,54.582355,"571",22
"48","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",53,7,330478.03,376853.78,-5.98072,54.622998,"179",16
"53","StreetTree","Not Known","Not known","Young","Juvenile/Young","Grass","Normal","Poor",34,8,336111.28,373784.53,-5.894993,54.593961,"",9
"57","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",41,5,330577.22,376920.72,-5.979156,54.623574,"22",16
"65","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",38,3,330469.31,367823.32,-5.984861,54.54193,"1390",21
"67","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",41,5,330503.8,367850.62,-5.984317,54.542166,"1347",16
"72","ParkTree","Holly","Ilex aquifolium","Mature","Mature","Bare Ground","Low","Poor",82,4,330578.75,367702.24,-5.983225,54.540815,"1455",11
"78","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",47,8,330757.26,368142.75,-5.980273,54.544723,"925",14
"79","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",81,10,330889.24,368088.81,-5.978259,54.544205,"843",26
"81","ParkTree","Juniper","Juniperus communis","Young Mature","Semi-Mature","Shrubs","Low","Poor",55,4,330637.37,367546.22,-5.982389,54.539399,"1816",11
